112	57	69	1,76
113	58	70	1,76
114	59	72	1,75
115	60	73	1,75
116	60	75	1,74
117	61	76	1,74
118	62	78	1,75
119	63	80	1,77
120	64	81	1,8
121	64	83	1,83
122	65	85	1,87
123	66	86	1,9
124	67	88	1,93
125	68	90	1,96
126	69	91	1,98
127	69	93	2,01
128	70	95	2,03
129	71	97	2,06
130	72	99	2,08
131	73	101	2,12
132	74	103	2,15
133	75	105	2,18
134	75	107	2,2
135	76	109	2,23
136	77	111	2,25
137	78	113	2,28
138	79	115	2,3
139	80	117	2,33
140	81	119	2,37
141	82	121	2,4
142	82	123	2,43
143	83	126	2,46
144	84	128	2,49
145	85	130	2,52
146	86	133	2,56
147	87	135	2,59
148	88	137	2,61
149	89	140	2,65
150	90	142	2,71
151	91	145	
152	92	147	2,78
153	93	150	2,81
154	94	153	2,84
155	94	155	2,87
156	95	158	2,9
157	96	160	2,92
158	97	163	2,95
159	98	166	2,98
160	99	169	3,01
161	100	171	3,04
162	101	174	3,07
163	102	177	3,11
164	103	180	3,14
165	104	183	3,18
166	105	186	3,21
167	106	189	3,24
168	107	192	3,27
169	109	195	3,31
170	110	198	3,34
171	111	201	3,37
172	112	204	3,4
173	113	208	3,43
174	114	211	3,46
175	115	214	3,49
176	116	217	3,52
177	117	220	3,55
178			
179			
180			
181			
182			
183	123	241	3,72
184	124	244	3,75
185	248	3.7	
186	126	251	3,81
187			
188			
189			
190			
191			
192	133	273	3,95
193	134	277	3,96
194	135	280	3,97
195	136	284	3,97
196	137	288	3,96
197	138	291	3,96
198	139	295	3,95
199	140	298	3,94
200	141	302	3,92
201			
202			
203			
204			
205			
206	147	324	3,85
207	148	327	3,84
208	149	331	3,84
209	150	334	3,83
210	151	338	3,83
211	152	341	3,82
212	153	345	3,82
213	154	349	3,81
214	155	352	3,81
215	156	356	3,81
216	156	359	3,8
217	157	363	3,8
218	158	367	3,8
219	159	370	3,8
220	160	374	3,8
221	161	377	3,8
222	162	381	3,79
223	162	385	3,79
224	163	388	3,79
225	164	392	3,78
226	165	395	3,78
227	166	399	3,78
228	167	403	3,78
229	167	406	3,78
230	168	410	3,78
231	169	413	3,78
232	170	417	3,77
233	170	421	3,77
234	171	424	3,77
235	172	428	3,77
236	173	431	3,77
237	174	435	3,77
238	174	439	3,76
239	175	442	3,76
240	176	446	3,76
241	176	449	3,76
242	177	453	3,76
243	178	456	3,76
244	178	460	3,76
245	179	464	3,76
246	180	467	3,77
247	181	471	3,78
248	181	475	3,79
249	182	478	3,81
250	183	482	3,83
251	183	486	3,85
252	184	489	3,87
253	185	493	3,89
254	185	497	3,91
255	186	501	3,94
256	187	505	3,97
257	187	509	4
258			
259	189	516	4,05
260	189	520	4,07
261	190	524	4,09
262	191	528	4,11
263	191	532	4,13
264	192	536	4,15
265	192	540	4,17
266	193	544	4,19
267	194	548	4,22
268	194	552	4,24
269	195	556	4,26
270	195	560	4,29
271	196	565	4,31
272	197	569	4,33
273	197	573	4,36
274	198	577	4,38
275	198	581	4,41
276	199	586	4,43
277	199	590	4,46
278	200	594	4,48
279	201	598	4,51
280	201	603	4,54
281	202	607	4,57
282	202	612	4,6
283	203	616	4,63
284	203	621	4,66
285	204	625	4,69
286	204	630	4,72
287	205	634	4,75
288	205	639	4,78
289	206	643	4,81
290	206	648	4,85
291	207	653	4,88
292	207	658	4,91
293	208	662	4,94
294	208	667	4,97
295	209	672	5,01
296	209	677	5,05
297	210	682	5,08
298	210	687	5,12
299	210	692	5,16
300	211	697	5,19
301	211	702	5,22
302	212	707	5,25
303	212	712	5,29
304	213	717	5,32
305	213	722	5,36
306	214	727	5,39
307	214	732	5,43
308	214	738	5,47
309	215	743	5,51
310	215	748	5,54
311	216	754	5,58
312	216	759	5,62
313	216	764	5,66
314	217	770	5,7
315	217	776	5,75
316	218	781	5,79
317	218	787	5,84
318	218	792	5,88
319	219	798	5,92
320	219	804	5,97
321			
322	220	815	6,05
323	220	821	6,09
324	220	827	6,14
325	221	833	6,18
326	221	839	6,22
327	221	845	6,26
328	222	851	6,31
329	222	857	6,35
330	223	863	6,4
331	223	870	6,45
332	223	876	6,5
333	224	882	6,56
334	224	888	6,61
335	225	895	6,66
336	225	901	6,71
337	225	908	6,76
338	225	914	6,81
339	226	921	6,86
340	226	927	6,91
341	226	934	6,96
342	227	941	7,01
343	227	948	7,06
344	227	954	7,11
345	228	961	7,17
346	228	968	7,22
347	228	975	7,27
348	229	982	7,32
349	229	989	7,38
350	229	996	7,43
351	230	1004	7,48
352	230	1011	7,53
353	230	1018	7,57
354	230	1025	7,57
355	231	1033	7,58
356	231	1040	7,58
357	231	1047	7,58
358	231	1055	7,58
359	232	1062	7,58
360	232	1069	7,58
361	232	1077	7,58
362	232	1084	7,58
363	233	1091	7,58
364	233	1098	7,58
365	233	1106	7,58
366	233	1113	7,58
367	233	1120	7,58
368	234	1128	7,58
369	234	1135	7,58
370	234	1142	7,58
371	234	1149	7,58
372	235	1157	7,58
373	235	1164	7,58
374	235	1171	7,58
375	235	1179	7,58
376	236	1186	7,58
377	236	1193	7,57
378	236	1201	7,57
379	236	1208	7,57
380	236	1215	7,57
381	237	1222	7,57
382	237	1230	7,57
383	237	1237	7,57
384	237	1244	7,57
385	238	1252	7,57
386	238	1259	7,57
387	238	1266	7,57
388	238	1273	7,57
389	238	1281	7,57
390	239	1288	7,57
391	1295		
392	239	1303	7,57
393	239	1310	7,57
394	239	1317	7,57
395	240	1325	7,57
396	240	1332	7,57
397	240	1339	7,57
398	240	1346	7,57
399	241	1354	7,57
